codigo_cliente;regional;gerencia;subcanal;subcanal_;Gerencia_F;Cliente
11635466;CO Norte;CO GC Valledupar;IH SF Licorera;tiendita;#REF!;#REF!
11662572;CO Norte;CO GC Valledupar;IH SF Licorera;tiendita;#REF!;#REF!
13872685;CO Norte;CO GC Córdoba;OOH DL Tienda Social;tiendita;#REF!;#REF!
12863446;CO Norte;CO GC Cúcuta;IH SF Licorera;tiendita;#REF!;#REF!
12654156;CO Norte;CO GC Sincelejo;IH SF Licorera;tiendita;#REF!;#REF!
10401470;CO Norte;CO GC Cúcuta;OOH DL Tienda Social;tiendita;#REF!;#REF!
13874458;CO Norte;CO GC Cartagena;IH SF Licorera;tiendita;#REF!;#REF!
13382369;CO Norte;CO GC Cartagena;IH SF Licorera;tiendita;#REF!;#REF!
13753349;CO Norte;CO GC Córdoba;IH SF Licorera;tiendita;#REF!;#REF!
10263740;CO Norte;CO GC Valledupar;OOH DL Tienda Social;tiendita;#REF!;#REF!
11061857;CO Norte;CO GC Barranquilla;IH SF Licorera;tiendita;#REF!;#REF!
13272286;CO Norte;CO GC Córdoba;IH SF Licorera;tiendita;#REF!;#REF!
12919738;CO Norte;CO GC Sincelejo;OOH DL Tienda Social;tiendita;#REF!;#REF!
11459335;CO Norte;CO GC Santa Marta;OOH DL Tienda Social;tiendita;#REF!;#REF!
11939574;CO Norte;CO GC Valledupar;IH SF Licorera;tiendita;#REF!;#REF!
12735723;CO Norte;CO GC Córdoba;IH SF Licorera;tiendita;#REF!;#REF!
